rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
1,The Shawshank Redemption,1994,3.5,English,Drama,R,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows","A young banker named Andy, has his life changed rapidly when he is convicted of the murder of his wife and lover, and sentenced to life in prison.  As the story unfolds, Andy shows that he is a not a typical prisoner. With the help of his friend Redd, Andy makes the most of his prison life.  The film takes place in the 1940's."
2,Fight Club,1999,3.3,English,Drama/Crime,R,David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Zach Grenier",An average thirty-something office worker gets so bored of his life he creates a local fighting club. The path of insanity and psychosis is inevitable.
3,The Godfather,1972,3.5,English,Drama/Crime,R,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano, Sterling Hayden","An organized crime leader gives up control of his ""family"" to his youngest son, Michael.  The leader barely survives a battle between mobs, which leads Michael to begin a mob war against Sollozzo and tears the Corleone family apart."
4,The Dark Knight,2008,3.4,English,Action/Adventure,PG-13,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal, Michael Caine, Gary Oldman","Batman raises the stakes in his war on crime. With the help of Lieutenant Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the city streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as The Joker."
5,Pulp Fiction,1994,3.4,English,Crime/Drama,R,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Bruce Willis, Ving Rhames, Uma Thurman, Harvey Keitel","A story of four interweaving stories developing from hit men, boxers, ringleaders, and anyone else who is involved with a crime. Violence and crime are not far away."
6,Forrest Gump,1994,3.3,English,Drama/Comedy,PG-13,Robert Zemeckis,"Tom Hanks, Robin Wright Penn, Gary Sinise, Mykelti Williamson, Sally Field","A ""slow"" man explains to people he meets on a park bench his life story which seems to encounter historic events."
7,Lord of the Rings: The Fellowship of the Ring,2001,3.3,English,Adventure/Fantasy,PG-13,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom, John Rhys-Davies","A Hobbit by the name of Frodo is entrusted with an ancient ring, which is known to be very dangerous. He, along with other heroes such as elves and men, must travel to destroy it."
8,Lord of the Rings: The Return of the King,2003,3.4,English,Adventure/Fantasy,PG-13,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Orlando Bloom, John Rhys-Davies","Frodo and Sam try to destroy ""the one ring"" while the rest fight their way through battles to help Frodo and Sam.  Frodo is tempted, can Sam save him?"
9,The Matrix,1999,3.2,English,Sci-Fi/Action,R,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne, Joe Pantoliano, Hugo Weaving, Gloria Foster","A computer programmer, Neo, finds that things are not how they seem. His life will get turned upside down when Morphius gives him a choice to see the truth."
10,Schindler's List,1993,3.4,English,Drama/Biography,R,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Mark Ivanir, Embeth Davidtz",Schindler (played by Liam Neeson) tries to save the Jews by bringing as many as he can to an ammunitions plant that may not produce any ammunition.
11,Goodfellas,1990,3.4,English,Crime/Drama,R,Martin Scorsese,"Ray Liotta, Robert De Niro, Joe Pesci, Lorraine Bracco, Frank Sivero",A drug dealing gangster works his way up the chain of command while building close relationships with the leader.  Based off a true story.
12,Inception,2010,3.3,English,Action/Mystery,PG-13,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Marion Cotillard, Cillian Murphy, Ken Watanabe","Dom Cobb is the best at what he does: he enters peoples minds in the dream state and steals the valuable assets hidden inside the mind. This has made him incredibly popular in corporate espionage, but at the expense of having an semblance of a normal life. Now Cobb is given one last job - not to steal, but plant an idea, if he succeeds, he just may escape the game forever, but first he must succeed."
13,The Silence of the Lambs,1991,3.4,English,Thriller/Horror,R,Jonathan Demme,"Anthony Hopkins, Jodie Foster, Anthony Heald, Scott Glenn, Ted Levine, Franke Faison","An FBI agent uses the help of Dr. Hannibal Lector, a confined psychopathic killer, to profile a missing person's kidnapper and serial killer.  As she comes closer to lector, she shows sign of nervousness.  Will she still seek his help to complete the job?"
14,Star Wars: Episode V - The Empire Strikes Back,1980,3.4,English,Sci-Fi/Adventure,PG,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, James Earl Jones, Anthony Daniels","While Luke's skills improve as he becomes closer to a Jedi, he meets a green friend to help him in his journey, while Leia and Han try to flee from Darth Vadar."
15,Raiders of the Lost Ark,1981,3.3,English,Adventure/Action,PG,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Denholm Elliott, Alfred Molina","Indiana Jones, a college professor is on an adventure with his old friend to find the Ark of the Covenant."
16,The Godfather: Part II,1974,3.4,English,Crime/Drama,R,Francis Ford Coppola,"Al Pacino, Diane Keaton, Robert Duvall, Robert De Niro, John Cazale, Talia Shire","The sequel to ""The Godfather,"" we are taken back to the begining of the Corleone family, and how it all began back in the early 1900's."
17,Lord of the Rings: The Two Towers,2002,3.3,English,Adventure/Fantasy,PG-13,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom, John Rhys-Davies","The fellow has split, but Frodo and Sam have a mission to complete.  The others make new friends, while Frodo finds a guide to Mordor."
18,Saving Private Ryan,1998,3.3,English,War/Drama,R,Steven Spielberg,"Tom Hanks, Barry Pepper, Adam Goldberg, Edward Burns, Matt Damon, Tom Sizemore","Once soldiers cross the line from the beach to land, they are assigned to find Private Ryan, who none of them know, nor do they know if he is alive, but they must follow the commanding officer."
19,Back to the Future,1985,3.2,English,Adventure/Sci-Fi,PG,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson, Crispin Glover, Huey Lewis","Marty Mcfly's loony friend, Doc Brown, invents a time machine in which Marty is accidentally sent back to 1955, the same year his parents meet."
20,One Flew Over the Cuckoo's Nest,1975,3.4,English,Drama,R,Milos Forman,"Jack Nicholson, Danny DeVito, Louise Fletcher, William Redfield, Christopher Lloyd, Michael Berryman",A man who may not really be insane is admitted to an institution.  He plays tricks on the nurse and rounds up the other trouble patients for a healthy dose of fun.
21,Star Wars: Episode IV - A New Hope,1977,3.3,English,Sci-Fi/Adventure,PG,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Anthony Daniels, James Earl Jones","A kid named Luke Skywalker, flees his home after his family is murdered, goes into outer space to face Tie Fighters and the evil Darth Vador, while making friends with Han and Princess Leia."
22,Se7en,1995,3.3,English,Thriller/Crime,R,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, Kevin Spacey, R. Lee Ermey, Daniel Zacapa",A retiring officer and his soon-to-be replacement track a serial killer who is using the seven deadly sins as his guide.
23,Gladiator,2000,3.2,English,Adventure/Drama,R,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Djimon Hounsou, Richard Harris","Maximus, a general and friend of Caesar, is sold as a slave by the new emperor to protect his thrown from Maximus who is the chosen heir. He fights as a gladiator to slowly wait for his revenge."
24,Braveheart,1995,3.2,English,Adventure/Drama,R,Mel Gibson,"Mel Gibson, James Robinson, Brendan Gleeson, David O'Hara, James Cosmo, Sophie Marceau","Mel Gibson's first official movie as producer paints a tragic, and sometimes beautiful,  picture of what sacrifices must be made for freedom. Mel plays a thirteen-century freedom fighting Scott who motivates his countrymen to fight against the corrupt government."
25,Die Hard,1988,3.3,English,Action,R,John McTiernan,"Bruce Willis, Bonnie Bedelia, Alan Rickman, Reginald VelJohnson, William Atherton, Paul Gleason","A terrorist group takes over a L.A. office building on Christmas, and tough New York cop John McLain is the only one who can stop them."
26,The Departed,2006,3.2,English,Crime/Drama,R,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Martin Sheen, Mark Wahlberg, Vera Farmiga","Two detectives who go through the same training, and perform well are on opposite sides of the war between a big wig Irish crime boss.  They both struggle to figure out who the mole is."
27,The Lion King,1994,3.3,English,Family/Animation,G,Roger Allers,"Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones, Moira Kelly, Jeremy Irons, Niketa Calame",The son of the King of the Jungle believes he killed his father where he goes into exile.  The rest of the pack believes he's dead when he decides to come back to regain control several years later when he questions his confidence.
28,The Shining,1980,3.2,English,Horror/Thriller,R,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone","A man and his family head to a isolated hotel to ""house sit.""  As the loneliness sets in, the husband begins to go insane, while the boy sees things that no one else can.."
29,12 Angry Men,1957,3.4,English,Drama,PG,Sidney Lumet,"Henry Fonda, Jack Klugman, Joseph Sweeney, Lee J. Cobb, E.G. Marshall, Jack Warden",One man on a jury stands alone in a case in which most are initially convinced one way but one by one may be convinced another way.
30,"Good, the Bad and the Ugly, The ( buono, il brutto, il cattivo, Il )",1966,3.4,Italian,Western,R,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Eli Wallach, Luigi Pistilli, Aldo Giuffrè, Rada Rassimov","A mysterious man, a petty theif, and a criminal all set off to find a pot of gold.  Who is the good guy, the bad guy, and the ugly one?"
31,Terminator 2: Judgement Day,1991,3.2,English,Sci-Fi/Action,R,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, Edward Furlong, Earl Boen, Joe Morton",John Conner is protected by an outdated cyborg who fights a liquid metal cyborg in the continuing story of the future and the past.
32,Psycho,1960,3.3,English,Horror/Mystery,R,Alfred Hitchcock,"Janet Leigh, Anthony Perkins, Vera Miles, John McIntire, Frank Albertson, John Anderson","A woman goes missing after stealing money from her boss?s client.  The last place she was seen was at the Bates motel, run by a young, intriguing man."
33,Alien,1979,3.3,English,Sci-Fi/Horror,R,Ridley Scott,"Sigourney Weaver, Tom Skerritt, Ian Holm, John Hurt, Harry Dean Stanton, Veronica Cartwright",A space mining ship investigates an SOS on a distant planet. The crew explores and finds a creature?s hive colony and when one of the eggs is hatched the crew has to fend for their lives. The movie stars Sigourney Weaver.
